id,eta_logka_SAEM,eta_logV1_SAEM,eta_logQ_SAEM,eta_logV2_SAEM,eta_logVm_SAEM,eta_logKm_SAEM,eta_logka_mean,eta_logV1_mean,eta_logQ_mean,eta_logV2_mean,eta_logVm_mean,eta_logKm_mean,eta_logka_mode,eta_logV1_mode,eta_logQ_mode,eta_logV2_mode,eta_logVm_mode,eta_logKm_mode,eta_logka_sd,eta_logV1_sd,eta_logQ_sd,eta_logV2_sd,eta_logVm_sd,eta_logKm_sd
1,-0.151089,0.487193,0.120455,-0.122163,-0.152403,0.366497,-0.204612,0.452444,0.085593,-0.0806165,-0.150088,0.372801,-0.197229,0.45307,0.0817127,-0.0503943,-0.119748,0.358468,0.328757,0.146629,0.366582,0.313147,0.195571,0.356469
2,0.116146,0.0403963,0.209947,0.0726658,-0.055213,-0.555839,0.123593,0.038828,0.111119,0.0907234,0.111704,-0.331061,0.130079,0.0421845,0.123816,0.0948395,0.0605593,-0.40089,0.263264,0.137761,0.354208,0.287539,0.181343,0.240086
3,-0.195207,-0.209691,0.0105027,-0.170583,-0.0259114,0.029878,-0.210934,-0.227442,-0.0722763,-0.0441215,-0.0602012,0.199385,-0.196073,-0.23595,-0.127794,-0.0115453,-0.0327236,0.157949,0.289152,0.151328,0.318727,0.291424,0.182435,0.498477
4,-0.102671,0.349531,0.0424415,0.0183319,-0.103215,0.323995,-0.107781,0.377265,-0.00716156,0.0510483,-0.106056,0.383563,-0.138584,0.359346,0.0113647,0.0850443,-0.0870602,0.363997,0.326183,0.125019,0.327079,0.337657,0.238267,0.387607
5,0.0683778,-0.0186237,0.0782435,-0.167722,-0.0295468,0.0753013,0.0649675,0.0137971,0.0153859,-0.255628,-0.02406,0.0968711,0.108159,-0.00317155,0.0154155,-0.176111,-0.0332147,0.0206098,0.344925,0.125786,0.376274,0.311855,0.191396,0.555981
6,-0.175009,0.176794,0.100502,0.468009,0.129412,-0.28382,-0.0243184,0.277282,0.104746,0.236328,0.143821,-0.347844,-0.104789,0.230258,0.058376,0.223127,0.105955,-0.529218,0.280019,0.134399,0.318014,0.361642,0.140615,0.35927
7,0.134337,-0.0634068,0.0999749,-0.0168778,-0.163107,0.277167,0.133053,-0.0615888,0.0532568,-0.10386,-0.156537,0.20457,0.124927,-0.0898862,0.0780794,-0.0652025,-0.0998042,0.243794,0.284551,0.1483,0.341304,0.346023,0.173042,0.472959
8,0.226164,0.20133,0.0891492,0.189503,0.180794,-0.333632,0.208583,0.194669,0.0905205,0.224185,-0.0619923,-0.633169,0.182504,0.186793,0.148203,0.198531,0.0323409,-0.524223,0.227892,0.112711,0.33791,0.291329,0.179776,0.242931
9,0.199181,0.299321,0.0503917,0.130284,0.0662176,-0.375212,0.166497,0.296184,0.0144378,0.089686,0.0727346,-0.379326,0.169207,0.284068,0.0321197,0.0787269,0.0399925,-0.457152,0.337576,0.134192,0.291471,0.358342,0.184152,0.309667
10,0.472318,-0.25533,0.229376,-0.269106,0.134652,-0.74196,0.545991,-0.205329,0.118456,-0.297477,-0.0598365,-1.00442,0.515464,-0.212814,0.178103,-0.32492,0.0890134,-0.803241,0.190268,0.097633,0.317103,0.183832,0.160282,0.232054
