id,eta_logka_SAEM,eta_logV_SAEM,eta_logCl_SAEM,eta_logka_mean,eta_logV_mean,eta_logCl_mean,eta_logka_mode,eta_logV_mode,eta_logCl_mode,eta_logka_sd,eta_logV_sd,eta_logCl_sd
1,0.267879,0.256891,0.145745,0.226402,0.239992,0.135418,0.228893,0.244713,0.142211,0.187383,0.0611385,0.0356499
2,-0.00253109,-0.541396,0.251605,0.0356203,-0.514441,0.267473,-0.00170505,-0.525619,0.263338,0.116875,0.0523416,0.0343013
3,-0.0381119,0.0501162,-0.399032,-0.0577632,0.0474076,-0.398454,-0.0845681,0.0379035,-0.39704,0.229844,0.0708698,0.0321309
4,-0.262593,0.651724,-0.231295,-0.198292,0.641577,-0.232149,-0.196314,0.643488,-0.226499,0.299284,0.0827776,0.0329652
5,-0.664326,-0.0895429,0.435714,-0.679673,-0.0912166,0.433799,-0.695281,-0.0952139,0.434733,0.119168,0.0598215,0.0393981
6,0.283844,0.140752,0.00675585,0.258146,0.138872,0.00503674,0.221462,0.127923,0.0051778,0.213349,0.0652834,0.0335054
7,-0.605744,0.362708,0.262201,-0.571071,0.382881,0.272784,-0.597504,0.37302,0.269926,0.176145,0.0660236,0.0355198
8,-0.024656,-0.165981,0.430443,-0.0309682,-0.172151,0.427783,-0.0509876,-0.178628,0.425028,0.129335,0.0540876,0.0381573
9,-0.385638,-0.1891,-0.204056,-0.372068,-0.195464,-0.20834,-0.378319,-0.197137,-0.204201,0.169887,0.0621869,0.0360579
10,0.32087,0.0553528,-0.354487,0.326818,0.0536461,-0.35475,0.315246,0.0570595,-0.34977,0.23622,0.0616933,0.0317781
11,0.566877,-0.319386,0.462987,0.54646,-0.338486,0.454521,0.525844,-0.339669,0.455391,0.136777,0.0540485,0.0389121
12,-0.0234843,-0.610651,0.127875,0.0269581,-0.591588,0.140112,-0.00808339,-0.605548,0.131581,0.0993435,0.038645,0.0295825
13,-0.492466,0.151933,-0.019218,-0.479385,0.163814,-0.0122559,-0.487623,0.159341,-0.0107839,0.183045,0.0633481,0.0344584
14,-0.284342,0.101094,-0.0924289,-0.26805,0.104172,-0.0849224,-0.282657,0.100542,-0.08399,0.185621,0.0635182,0.0340004
15,-0.285923,-0.0835932,-0.0421808,-0.244845,-0.0606286,-0.0330079,-0.291392,-0.081069,-0.0397953,0.17262,0.0706787,0.0383645
16,-0.29163,-0.00727495,-0.108503,-0.249537,0.0297387,-0.0965979,-0.265099,0.0252858,-0.092902,0.186075,0.0724584,0.035757
17,-0.0165987,-0.19381,-0.166909,-0.00819019,-0.189828,-0.167968,-0.0283838,-0.191455,-0.165511,0.149426,0.0514472,0.0341194
18,-0.343451,-0.0986084,-0.141434,-0.376821,-0.11566,-0.149561,-0.398972,-0.123886,-0.150198,0.178483,0.0690573,0.0385987
19,0.165285,-0.0398643,-0.0102772,0.177182,-0.040669,-0.00894087,0.164741,-0.0373568,-0.00338168,0.177222,0.0594609,0.0360425
20,-0.0620623,-0.0802726,-0.157457,-0.130254,-0.10548,-0.166573,-0.145801,-0.116304,-0.168749,0.205458,0.0773211,0.0389642
21,-0.143551,0.349624,0.252303,-0.150803,0.322861,0.239932,-0.1453,0.332301,0.24905,0.185645,0.0581862,0.0346305
22,-0.477782,0.311508,-0.0409855,-0.458827,0.309126,-0.0418097,-0.475069,0.303041,-0.0403077,0.204121,0.0680691,0.0326687
23,-0.241073,-0.168893,-0.238218,-0.243608,-0.158407,-0.234832,-0.259543,-0.164215,-0.234664,0.180574,0.0612928,0.0343562
24,-0.356721,0.0547743,-0.572543,-0.329159,0.0610848,-0.566801,-0.329699,0.055578,-0.562532,0.240689,0.0839542,0.0341836
25,-0.100476,0.416517,0.0598802,-0.153299,0.420607,0.0593868,-0.175747,0.410779,0.0595993,0.215192,0.0704476,0.0335889
26,0.473626,0.157909,0.415969,0.465807,0.152889,0.410345,0.464649,0.156248,0.416897,0.16136,0.0526029,0.0351883
27,-0.0265756,0.189395,0.237052,-0.0043783,0.191314,0.238101,-0.00637192,0.194339,0.243634,0.163446,0.0605935,0.0354012
28,0.121268,0.581964,0.241859,0.120468,0.57922,0.238421,0.111879,0.573893,0.24335,0.203256,0.0693234,0.0360744
29,0.262604,-0.414142,0.0599685,0.241698,-0.43054,0.0491192,0.234382,-0.42972,0.0520889,0.13367,0.0437447,0.0316544
30,-0.246511,0.32298,0.0326192,-0.279563,0.321369,0.0317131,-0.312365,0.306511,0.0294902,0.206918,0.0702551,0.0353232
31,-0.257638,0.215707,-0.291816,-0.168061,0.239261,-0.286881,-0.174743,0.240128,-0.27983,0.283636,0.0811092,0.037682
32,0.00927911,-0.419258,-0.366109,-0.0429716,-0.434834,-0.374562,-0.0535245,-0.43988,-0.372503,0.162042,0.0636126,0.0355086
33,0.430817,-0.390682,0.15052,0.452838,-0.388837,0.15114,0.450895,-0.381189,0.158562,0.143075,0.0485865,0.0382691
34,0.276584,0.0798286,-0.268117,0.336535,0.0810202,-0.265359,0.315965,0.0728406,-0.263929,0.213173,0.069031,0.0354429
35,0.593932,-0.415626,-0.363434,0.582985,-0.412315,-0.363332,0.567858,-0.409352,-0.357721,0.175889,0.0493089,0.0317047
36,1.02881,0.0176923,0.118531,1.00601,0.0112393,0.116703,0.982176,0.00883469,0.118074,0.182869,0.0499648,0.0333089
37,-0.439862,-0.445196,0.249102,-0.438342,-0.434981,0.257675,-0.444679,-0.435321,0.258992,0.101958,0.0433363,0.033593
38,0.0572148,0.198757,-0.0722745,0.0365852,0.191606,-0.074098,0.0237766,0.184098,-0.0739592,0.210555,0.06668,0.0338254
39,-0.364915,0.435463,-0.222662,-0.220806,0.451937,-0.218669,-0.263166,0.438905,-0.216514,0.33021,0.0851923,0.0340884
40,0.17925,0.296049,0.0415662,0.162639,0.3074,0.0443944,0.144465,0.300153,0.04602,0.191771,0.0588367,0.0319445
