id,eta_logka_SAEM,eta_logV1_SAEM,eta_logQ_SAEM,eta_logV2_SAEM,eta_logVm_SAEM,eta_logKm_SAEM,eta_logka_mean,eta_logV1_mean,eta_logQ_mean,eta_logV2_mean,eta_logVm_mean,eta_logKm_mean,eta_logka_mode,eta_logV1_mode,eta_logQ_mode,eta_logV2_mode,eta_logVm_mode,eta_logKm_mode,eta_logka_sd,eta_logV1_sd,eta_logQ_sd,eta_logV2_sd,eta_logVm_sd,eta_logKm_sd
1,-0.0121933,0.431385,0.320598,-0.0499782,-0.108945,0.308198,0.015438,0.451647,0.21785,-0.0989095,-0.12384,0.3049,-0.0155995,0.442432,0.31154,-0.0941215,-0.0860475,0.290197,0.174911,0.100474,0.451804,0.258431,0.165124,0.24736
2,-0.0615127,-0.204166,0.354846,0.290636,-0.117624,-0.138022,-0.0132119,-0.173147,0.302975,0.263499,0.0661279,0.0922852,-0.0134557,-0.155108,0.300306,0.266752,0.0160962,0.00598593,0.185538,0.129332,0.269883,0.220381,0.154834,0.186366
3,-0.0733026,-0.165282,-0.161355,0.146581,-0.00189407,-0.0292355,-0.0825356,-0.161362,-0.212556,0.156946,0.0165551,0.0445267,-0.0938314,-0.153727,-0.202571,0.168834,0.0236702,-0.00188692,0.186326,0.118006,0.278823,0.22109,0.144836,0.312726
4,-0.198841,0.258623,0.305815,-0.0139114,0.0290863,0.158323,-0.133474,0.311755,0.122384,-0.0202911,-0.0527531,0.089153,-0.176821,0.294813,0.157595,-0.00841668,-0.0251162,0.0860988,0.165725,0.10251,0.378231,0.241809,0.160277,0.223526
5,-0.0201416,-0.0628547,-0.121528,0.0988717,0.0651682,-0.0609912,-0.0469931,-0.0857778,-0.108684,0.118553,0.0646356,-0.0558844,-0.0591794,-0.074433,-0.146532,0.136035,0.0717877,-0.0902225,0.187236,0.111356,0.339282,0.234185,0.146144,0.313207
6,0.0777047,0.323844,-0.186337,0.0226496,0.118113,-0.537816,0.116084,0.357258,-0.156394,-0.101164,0.202454,-0.41969,0.0769893,0.348762,-0.246027,-0.117487,0.157803,-0.534726,0.152949,0.0966019,0.493782,0.2955,0.136411,0.255449
7,0.0132315,-0.23171,0.182953,-0.322801,-0.0388972,-0.139494,0.0110546,-0.227385,0.0677446,-0.296178,-0.0571528,-0.144942,0.0111039,-0.223234,0.159444,-0.366941,-0.0130781,-0.122965,0.170585,0.121861,0.477991,0.224461,0.13628,0.271159
8,-0.0362109,0.164558,0.203085,0.143606,-0.0209187,-0.132533,-0.0362788,0.159039,0.217727,0.144178,-0.00268538,-0.103477,-0.0598915,0.163633,0.271069,0.117791,0.0367438,-0.0944904,0.177655,0.124616,0.350843,0.227512,0.176464,0.214772
9,0.275649,0.225919,0.262059,0.0121515,0.0840555,-0.138792,0.315793,0.246527,0.179818,0.0591757,0.0706602,-0.118609,0.308005,0.26307,0.168609,0.0241739,0.0596649,-0.17519,0.186232,0.109715,0.380375,0.217168,0.157474,0.19746
10,0.0393765,-0.347293,0.112799,-0.287176,0.202355,-0.214953,0.0644369,-0.305409,0.028109,-0.288511,0.00103899,-0.440295,0.0257189,-0.321154,0.0929689,-0.289996,0.0705012,-0.36716,0.175409,0.123009,0.304091,0.160252,0.179349,0.228583
11,0.0091626,0.17133,0.0205553,-0.222843,-0.0365875,0.202406,0.00849848,0.16896,0.00235102,-0.213019,-0.092729,0.0993278,0.00837054,0.178339,0.00992846,-0.2528,-0.0610632,0.0791099,0.181396,0.111538,0.467911,0.244954,0.168558,0.29057
