rep,id,logka,logV,logCl
1,1,0.0427482467832196,4.36638425582577,1.49336852321446
2,1,0.235354493119497,4.38938974912028,1.48570963333735
3,1,-0.0536013123194859,4.29016597271177,1.46247901820485
4,1,0.139361083332126,4.36426071079005,1.52371516511374
5,1,0.181500959301827,4.37005078223519,1.52465534649246
1,2,0.297301131557258,3.76396231243564,1.68020070583654
2,2,0.286225211422561,3.71876905029969,1.67405819940649
3,2,0.120500124284752,3.72766895214481,1.66094463413994
4,2,0.157099417089436,3.73812930595003,1.68163940429066
5,2,0.0719891185362067,3.70588601040737,1.65013731365531
1,3,-0.263913942916001,4.17047711800682,0.953905744588779
2,3,-0.217857797744622,4.24404165096248,1.03028757190414
3,3,-0.15263665800143,4.24769736760717,1.02835911191738
4,3,-0.142704701524192,4.24714063371666,1.01384395545731
5,3,-0.0145913905369879,4.31532589228198,1.03642402939657
1,4,0.260975450822726,5.0095156857889,1.19217722397494
2,4,0.129428194611056,4.89392364705013,1.11372663312268
3,4,0.24867373584536,4.95847525675465,1.22844857908391
4,4,0.216819337895898,4.93398440793751,1.18447755122611
5,4,0.27444179228921,4.91158135813435,1.23047629589546
1,5,-0.632283197783882,4.12175927356973,1.81516752480119
2,5,-0.639935582900606,4.17620976322397,1.85515036036682
3,5,-0.45005417638213,4.18528287737635,1.86897871470597
4,5,-0.761022121877845,4.12316001707807,1.83458054521381
5,5,-0.67953039007288,4.10164086733906,1.82801912289839
1,6,0.160557032498253,4.36323219270926,1.43654312271918
2,6,-0.092416032179031,4.26684403647988,1.38312714742235
3,6,-0.113512375938859,4.30584200250692,1.35513312510835
4,6,0.0584859545504146,4.32472697839621,1.39779048381804
5,6,0.276431088129039,4.31998962689213,1.40978525083536
1,7,-0.393362532673793,4.60618194813087,1.69006281866425
2,7,-0.322726232813807,4.67772421476216,1.72745588201497
3,7,-0.338193404032081,4.6315553429427,1.71653832701844
4,7,-0.466065382019423,4.59407737981624,1.65855880293823
5,7,-0.644602567237778,4.46823733085784,1.6047886899231
1,8,0.0115251467099015,4.07028144558518,1.83904288042772
2,8,0.099242049315542,4.11780886369947,1.86500056794198
3,8,0.136854532128621,4.13759799227729,1.88004799448867
4,8,0.11524259651064,4.09550208792305,1.85683915664604
5,8,-0.0582139590623558,4.08993147749942,1.81570076873646
