id,eta_logka_SAEM,eta_logV_SAEM,eta_logCl_SAEM,eta_logka_mean,eta_logV_mean,eta_logCl_mean,eta_logka_mode,eta_logV_mode,eta_logCl_mode,eta_logka_sd,eta_logV_sd,eta_logCl_sd
1,-0.00383531,0.0695068,0.0559107,-0.0230456,0.058888,0.0506907,-0.0319373,0.0644595,0.0637897,0.151305,0.0658488,0.0469539
2,0.34968,-0.496927,0.257202,0.341284,-0.501867,0.251206,0.326187,-0.495225,0.260654,0.156209,0.0708046,0.0524149
3,-0.000542622,0.0405705,-0.306577,-0.0187699,0.0376561,-0.310677,-0.0364989,0.0362942,-0.298336,0.137998,0.068934,0.0481764
4,0.128097,0.667782,-0.207447,0.157291,0.660444,-0.200251,0.125693,0.659427,-0.174873,0.162067,0.0776845,0.0673194
5,-0.483774,-0.0137379,0.480276,-0.519128,-0.0221248,0.474246,-0.49435,-0.000270675,0.493972,0.136852,0.0687559,0.0524253
6,0.0118204,0.091947,0.0139073,0.00852876,0.0925844,0.00621253,0.00390693,0.0959166,0.0165713,0.138975,0.0703216,0.047405
7,-0.426282,0.352236,0.283064,-0.415163,0.368852,0.291004,-0.435876,0.365535,0.298006,0.141165,0.0788138,0.0503978
8,-0.0573736,-0.144214,0.424934,-0.0490329,-0.128453,0.435389,-0.0524297,-0.126467,0.439492,0.137277,0.0659921,0.0519018
9,-0.135582,-0.0237206,-0.113828,-0.118492,-0.0246999,-0.11579,-0.155636,-0.0336404,-0.115409,0.158459,0.0692127,0.0480139
10,0.244839,-0.0696413,-0.423285,0.244188,-0.0627057,-0.41551,0.212797,-0.0642064,-0.406699,0.157777,0.0669148,0.0458942
11,0.526598,-0.353754,0.451812,0.507894,-0.362614,0.447422,0.506076,-0.35051,0.46033,0.146698,0.0602467,0.0456238
12,-0.00758273,-0.58935,0.169486,-0.0114513,-0.594243,0.167328,-0.0473045,-0.605408,0.160827,0.127689,0.0516854,0.0412618
13,-0.37109,0.234076,0.0822024,-0.394628,0.228396,0.0836234,-0.400343,0.229234,0.0907235,0.138662,0.0690969,0.0477823
14,0.0293902,0.292462,-0.012355,0.0505548,0.306933,0.00378143,-0.00215808,0.288529,0.000698968,0.13837,0.0612629,0.046509
15,-0.0303527,0.175957,0.139094,-0.00495398,0.186172,0.141647,-0.00780339,0.194266,0.151435,0.150161,0.0734702,0.0491235
